MIN,1,1,9:36,MIN 20,1:07,2,Punt
MIN,2,1,4:50,MIN 22,5:44,71,Field Goal
MIN,3,2,12:15,MIN 37,5:47,51,Field Goal
MIN,4,2,3:02,MIN 27,0:57,16,Punt
MIN,5,2,0:37,MIN 4,0:37,1,End of Half
MIN,6,3,15:00,MIN 35,4:40,43,Field Goal
MIN,7,3,5:01,MIN 10,2:11,36,Punt
MIN,8,4,12:22,MIN 18,5:24,23,Punt
NO,1,1,15:00,NOR 20,5:24,80,Touchdown
NO,2,1,8:29,NOR 18,3:39,82,Touchdown
NO,3,2,14:06,NOR 20,1:51,4,Punt
NO,4,2,6:28,NOR 20,3:26,21,Punt
NO,5,2,2:05,NOR 20,1:28,25,Punt
NO,6,3,10:20,NOR 20,5:19,6,Punt
NO,7,3,2:50,NOR 10,5:28,90,Touchdown
NO,8,4,6:58,NOR 16,6:58,70,End of Game
